Ciudad,Población,Semana,Max_Campus,WBE_Dato,% Ed Muestreados,% Ed Positivos,Retail_Recreation,Grocery_Pharmacy,Parks,Public_transport,Workplaces,Residential,AVG_Mobility,Casos diarios,Ola,Pred_1_S,Pred_2_S
MTY,"5,322,117",34,435626.6667,16960,0.638297872,0.2333,-13.28571429,20.57142857,-30.14285714,-16.85714286,-11.71428571,8.714285714,-7.119047619,1300.714286,1,1,1
MTY,"5,322,117",35,111493.3333,39874.28571,0.638297872,0.2667,-14,18.57142857,-29.57142857,-17.42857143,-10.71428571,8.428571429,-7.452380952,1072.571429,1,1,1
MTY,"5,322,117",36,75539.04762,213887.1429,0.638297872,0.1667,-9.428571429,23.57142857,-27.71428571,-15.57142857,-10.14285714,7.714285714,-5.261904762,837.1428571,1,1,1
MTY,"5,322,117",37,852739.2857,131969.5238,0.638297872,0.1333,-11.42857143,19.57142857,-26.71428571,-15.42857143,-9.428571429,7.857142857,-5.928571429,635,1,1,1
MTY,"5,322,117",38,3960,4110,0.680851064,0.0938,-9.571428571,23.14285714,-24.71428571,-17.42857143,-17,8.428571429,-6.19047619,443.8571429,1,1,1
MTY,"5,322,117",39,278378.5714,54282.85714,0.70212766,0.1515,-11.28571429,19,-23.71428571,-12.28571429,-8.285714286,7.285714286,-4.880952381,385,1,1,1
MTY,"5,322,117",40,18167.14286,#N/A,0.70212766,0.0606,-7.142857143,22.14285714,-22.42857143,-10,-6.285714286,6.571428571,-2.857142857,335.4285714,1,1,1
MTY,"5,322,117",41,13341.42857,#N/A,0.680851064,0.25,-5.285714286,22.42857143,-18.57142857,-8,-6.571428571,6.142857143,-1.642857143,268.5714286,1,1,1
MTY,"5,322,117",42,14048.57143,95468.57143,0.680851064,0.0625,-5.285714286,23.28571429,-19.85714286,-5.285714286,-6.142857143,6.142857143,-1.19047619,245.4285714,1,1,1
MTY,"5,322,117",43,3508551.429,61821.42857,0.70212766,0.1515,-3.142857143,24.85714286,-12.14285714,-1.857142857,-4.571428571,5.571428571,1.452380952,212.2857143,1,0,0
MTY,"5,322,117",44,1438015.714,18282.85714,0.70212766,0.3939,-0.857142857,30.14285714,-11.14285714,0.142857143,-4.142857143,4.571428571,3.119047619,171.7142857,0,0,0
MTY,"5,322,117",45,56957.14286,25238.57143,0.70212766,0.1515,-1.285714286,30,-13.42857143,-2.714285714,-5.285714286,5.285714286,2.095238095,129.4285714,0,0,0
MTY,"5,322,117",46,2070,0,0.70212766,0.0606,1.142857143,29.14285714,-11.71428571,1.428571429,-2.428571429,4.714285714,3.714285714,142.8571429,0,0,0
MTY,"5,322,117",47,0,0,0.680851064,0,4.571428571,31.42857143,-11.85714286,1.571428571,-9,5.571428571,3.714285714,112,0,0,0
MTY,"5,322,117",48,17327.14286,21291.42857,0.680851064,0.0625,-1,28.14285714,-16.42857143,0,-0.428571429,5,2.547619048,103.7142857,0,0,0
MTY,"5,322,117",49,9587.142857,#N/A,0.680851064,0.125,5.714285714,35.57142857,-9,6,1.428571429,3.428571429,7.19047619,105.2857143,0,0,0
MTY,"5,322,117",50,57222.85714,#N/A,0.680851064,0.0938,8.571428571,36.57142857,-5.428571429,9,5.285714286,2.428571429,9.404761905,86,0,0,0
MTY,"5,322,117",51,#N/A,576424.2857,0,#DIV/0!,21.14285714,42.42857143,-6.571428571,17.42857143,7.428571429,1.285714286,13.85714286,83,0,0,1
MTY,"5,322,117",52,#N/A,#N/A,0,#DIV/0!,12.28571429,40.71428571,-15.85714286,5.142857143,-17.14285714,3.428571429,4.761904762,98.57142857,0,1,1
MTY,"5,322,117",53,#N/A,88778.57143,0,#DIV/0!,-4.857142857,27.28571429,-18.14285714,-10.57142857,-28.14285714,7.571428571,-4.476190476,420.1428571,1,1,1
MTY,"5,322,117",54,#N/A,399304.2857,0,#DIV/0!,-8,27.14285714,-25.71428571,-3,-5,8.285714286,-1.047619048,1576.428571,1,1,1
MTY,"5,322,117",55,#N/A,864090,0,#DIV/0!,-12.42857143,25.71428571,-29.42857143,-11.42857143,-3.571428571,10.85714286,-3.380952381,4002.285714,1,1,1
MTY,"5,322,117",56,1720474.286,383190,0.638297872,0.5667,-13.14285714,22.85714286,-32.85714286,-15.14285714,-7.142857143,12.57142857,-5.476190476,4193.857143,1,1,1
MTY,"5,322,117",57,#N/A,160744.2857,0,#DIV/0!,-12.42857143,19.28571429,-36.57142857,-14.85714286,-4.428571429,11.85714286,-6.19047619,2620.285714,1,1,1
MTY,"5,322,117",58,#N/A,#N/A,0,#DIV/0!,-4.142857143,27.28571429,-21.85714286,-5.428571429,1,8.571428571,0.904761905,1235.285714,1,1,1
MTY,"5,322,117",59,#N/A,#N/A,0,#DIV/0!,-2.571428571,26.28571429,-19.71428571,-4.428571429,-4.428571429,8.714285714,0.642857143,455.5714286,1,1,1
MTY,"5,322,117",60,#N/A,#N/A,0,#DIV/0!,6.857142857,36.14285714,-9,8.714285714,8.571428571,4,9.214285714,256.2857143,1,0,0
MTY,"5,322,117",61,#N/A,#N/A,0,#DIV/0!,0.857142857,30.42857143,-11.57142857,7.857142857,9,4.285714286,6.80952381,148.4285714,0,0,0
MTY,"5,322,117",62,#N/A,#N/A,0,#DIV/0!,6.142857143,36.85714286,-3.428571429,13.14285714,11.42857143,2.571428571,11.11904762,78.85714286,0,0,0
MTY,"5,322,117",63,319020,0,0.638297872,0.3333,1.571428571,30.71428571,-5.428571429,10.85714286,12.42857143,3.571428571,8.952380952,39.71428571,0,0,0
MTY,"5,322,117",64,331915.7143,0,0.638297872,0.0667,4,35.71428571,-1.857142857,16,13.85714286,2.571428571,11.71428571,39.14285714,0,0,0
MTY,"5,322,117",65,80588.57143,0,0.70212766,0.1515,1,30,1.285714286,11.85714286,3.428571429,4.142857143,8.619047619,29,0,0,0
MTY,"5,322,117",66,15278.57143,0,0.680851064,0.0625,2.714285714,34.71428571,9.571428571,18.85714286,16.42857143,2.142857143,14.07142857,22,0,0,0
MTY,"5,322,117",67,1508.571429,0,0.70212766,0.0909,4,35.14285714,0.142857143,19.42857143,15.71428571,2.142857143,12.76190476,14,0,0,0
MTY,"5,322,117",68,#N/A,#N/A,0,#DIV/0!,0.571428571,31.71428571,2.571428571,-1.571428571,-17.85714286,5.571428571,3.5,10.28571429,0,0,0
MTY,"5,322,117",69,0,0,0.617021277,0,-0.285714286,27,-5.714285714,7.428571429,1.142857143,3.857142857,5.571428571,9.428571429,0,0,0
MTY,"5,322,117",70,0,0,0.70212766,0,7.142857143,37.71428571,1,19.57142857,16.85714286,2,14.04761905,9,0,0,0
MTY,"5,322,117",71,4680,0,0.638297872,0.0333,10.57142857,39.85714286,-0.142857143,17.14285714,14,2,13.9047619,15.85714286,0,0,0
MTY,"5,322,117",72,#N/A,0,0,#DIV/0!,13.71428571,42.14285714,-3,17.71428571,15.57142857,1,14.52380952,35.14285714,0,0,0
MTY,"5,322,117",73,14254.28571,0,0.70212766,0.1818,8,40.71428571,-1.428571429,19.85714286,15.71428571,1.857142857,14.11904762,54.14285714,0,0,1
